dur+I42F9A1:G82,spkts,sttl,sbytes,smean,sload,ct_dst_sport_ltm,attack_cat,label
0.000011,2,254,496,248,180363632,1,0,0
0.000008,2,254,1762,881,881000000,1,0,0
0.000005,2,254,1068,534,854400000,1,0,0
0.000006,2,254,900,450,600000000,1,0,0
0.00001,2,254,2126,1063,850400000,1,0,0
0.000003,2,254,784,392,1045333312,1,0,0
0.000006,2,254,1960,980,1306666624,1,0,0
0.000028,2,254,1384,692,197714288,1,0,0
0,1,0,46,46,0,2,0,0
0,1,0,46,46,0,2,0,0
0,1,0,46,46,0,2,0,0
0,1,0,46,46,0,2,0,0
0.000004,2,254,1454,727,1454000000,1,0,0
0.000007,2,254,2062,1031,1178285696,1,0,0
0.000011,2,254,2040,1020,741818176,1,0,0
0.000004,2,254,1052,526,1052000000,1,0,0
0.000002,2,254,1568,784,3136000000,1,0,0
0.000002,2,254,1568,784,3136000000,1,0,0
0.000004,2,254,2054,1027,2054000000,1,0,0
1.257255,14,254,1420,101,8392.887695,1,0,0
0.000006,2,254,1098,549,732000000,1,0,0
0.676384,14,254,936,67,10290.01367,1,0,0
0.676384,14,254,936,67,10290.01367,1,0,0
1.155145,16,254,1056,66,6856.281738,1,0,0
1.500408,20,254,1222,61,6190.315918,1,0,0
2.107464,16,254,1016,64,3617.61792,1,0,0
0.806815,14,254,934,67,8606.681641,1,0,0
0.757157,14,254,940,67,9223.978516,1,0,0
0.97287,16,254,1060,66,8173.753906,1,0,0
1.091008,14,254,922,66,6284.097168,1,0,0
0.000003,2,254,200,100,266666656,2,1,1
0.000003,2,254,200,100,266666656,4,1,1
0.000005,2,254,200,100,66666664,6,1,1
0.000006,2,254,200,100,88888888,1,1,1
0.000009,2,254,200,187,57141.46875,1,1,1
0.000005,2,254,180,90,1.44E+08,3,1,1
0.000008,2,254,200,100,1.00E+08,1,1,1
0.000009,2,254,254,200,100,2,1,1
0.000003,2,254,200,100,2.67E+08,1,1,1
0.000009,2,254,200,100,8.89E+07,2,1,1
0.000004,2,254,200,100,160000000,6,1,1
0.000004,2,254,200,100,200000000,6,1,1
0.000012,2,254,200,100,66666664,6,1,1
