dur,spkts,sttl,sbytes,smean,sload,ct_dst_sport_ltm,attack_cat,label
1.1e-05,2,254,496,248,180363632.0,1,0,0
8e-06,2,254,1762,881,881000000.0,1,0,0
5e-06,2,254,1068,534,854400000.0,1,0,0
6e-06,2,254,900,450,600000000.0,1,0,0
1e-05,2,254,2126,1063,850400000.0,1,0,0
3e-06,2,254,784,392,1045333312.0,1,0,0
6e-06,2,254,1960,980,1306666624.0,1,0,0
2.8e-05,2,254,1384,692,197714288.0,1,0,0
0.0,1,0,46,46,0.0,2,0,0
0.0,1,0,46,46,0.0,2,0,0
0.0,1,0,46,46,0.0,2,0,0
0.0,1,0,46,46,0.0,2,0,0
4e-06,2,254,1454,727,1454000000.0,1,0,0
7e-06,2,254,2062,1031,1178285696.0,1,0,0
1.1e-05,2,254,2040,1020,741818176.0,1,0,0
4e-06,2,254,1052,526,1052000000.0,1,0,0
3e-06,2,254,314,157,418666656.0,1,0,0
1e-05,2,254,1774,887,709600000.0,1,0,0
2e-06,2,254,1568,784,3136000000.0,1,0,0
4e-06,2,254,2054,1027,2054000000.0,1,0,0
1e-05,2,254,2170,1085,868000000.0,1,0,0
9e-06,2,254,202,101,89777776.0,1,0,0
1e-05,2,254,1334,667,533600000.0,1,0,0
5e-06,2,254,2058,1029,1646400000.0,1,0,0
3e-06,2,254,286,143,381333312.0,1,0,0
7e-06,2,254,1500,750,857142848.0,1,0,0
6e-06,2,254,902,451,601333312.0,1,0,0
2e-06,2,254,1626,813,3252000000.0,1,0,0
7e-06,2,254,364,182,208000000.0,1,0,0
1.434166,10,254,530,53,2660.780029,1,0,0
7e-06,2,254,730,365,417142848.0,1,0,0
1.924287,10,254,530,53,1983.072266,1,0,0
2.773779,14,254,7954,568,21302.3457,1,0,0
1e-05,2,254,794,397,317600000.0,1,0,0
1.465041,10,254,2516,252,12368.25391,1,0,0
0.983874,10,62,816,82,5976.375,1,0,0
0.714182,10,254,534,53,5387.982422,1,0,0
59.995674,2,0,92,46,6.133776,2,0,0
59.995678,2,0,92,46,6.133775,2,0,0
59.995674,2,0,92,46,6.133776,2,0,0
1.535254,10,62,826,83,3876.882812,1,0,0
59.995678,2,0,92,46,6.133775,2,0,0
0.757295,10,254,534,53,5081.243164,1,0,0
0.759306,10,254,534,53,5067.785645,1,0,0
1.294036,10,254,2516,252,14002.70117,1,0,0
1.059359,10,62,830,83,5641.147461,1,0,0
0.624048,10,254,534,53,6166.192383,1,0,0
1.190292,10,254,2516,252,15223.15527,1,0,0
0.999472,10,254,534,53,3850.032715,1,0,0
0.990548,10,62,804,80,5847.268066,1,0,0
0.655618,10,254,534,53,5869.271484,1,0,0
0.810167,10,254,2516,252,22365.75781,1,0,0
14.846565,22,254,990,45,509.208679,3,0,0
14.846565,22,254,990,45,509.208679,3,0,0
14.846565,22,254,990,45,509.208679,3,0,0
1.588788,10,254,534,53,2421.971924,1,0,0
1.151373,10,254,2516,252,15737.73145,1,0,0
14.355273,20,254,900,45,476.47995,3,0,0
14.355273,20,254,900,45,476.47995,3,0,0
14.355273,20,254,900,45,476.47995,3,0,0
15.53235,20,254,900,45,440.371246,3,0,0
15.590977,20,254,900,45,438.715302,3,0,0
15.53235,20,254,900,45,440.371246,3,0,0
15.53235,20,254,900,45,440.371246,3,0,0
15.590977,20,254,900,45,438.715302,3,0,0
15.590977,20,254,900,45,438.715302,3,0,0
1.074494,10,254,2516,252,16863.75195,1,0,0
15.979696,18,254,810,45,382.985992,1,0,0
15.226356,18,254,810,45,401.934662,1,0,0
15.979696,18,254,810,45,382.985992,2,0,0
15.226356,18,254,810,45,401.934662,2,0,0
15.979696,18,254,810,45,382.985992,2,0,0
1.303518,12,62,898,75,5057.083984,1,0,0
15.226356,18,254,810,45,401.934662,2,0,0
15.374568,16,254,720,45,351.22937,3,0,0
15.374568,16,254,720,45,351.22937,3,0,0
15.374568,16,254,720,45,351.22937,3,0,0
0.582389,10,254,534,53,6607.267578,1,0,0
16.448053,14,254,630,45,284.532166,3,0,0
16.76671,14,254,630,45,279.124512,3,0,0
16.76671,14,254,630,45,279.124512,3,0,0
15.40279,14,254,630,45,303.841064,3,0,0
16.448053,14,254,630,45,284.532166,3,0,0
2.462774,10,254,2516,252,7357.556641,1,0,0
1.047169,10,254,534,53,3674.669678,1,0,0
16.76671,14,254,630,45,279.124512,3,0,0
